order,cue,target,reaction_time,response
0,dog,dog,0.378726100003405,m
1,chicken,owl,0.4420486999952118,m
2,duck,goat,0.4152152000024216,z
3,goat,goat,0.3820620999977109,m
4,whistle,whistle,0.34189039999910165,m
5,gun,chicken,0.47916970000369474,z
6,keyboard,keyboard,0.39898600000014994,m
7,baby,motorcycle,0.5019026000009035,z
8,frog,rooster,0.544015200001013,z
9,duck,duck,0.36911540000437526,m
10,motorcycle,motorcycle,0.39314520000334596,m
11,scissors,hammer,0.45631390000198735,z
12,train,train,0.3726435999997193,m
13,chicken,chicken,0.48504849999881117,m
14,cow,cricket,0.4320531999983359,z
15,owl,owl,0.4054736999969464,m
16,hammer,hammer,0.4279307999968296,m
17,car,gun,0.513802500005113,z
18,baby,baby,0.3722715999974753,m
19,sheep,sheep,0.3721417999986443,m
20,owl,sheep,0.4841515000007348,m
21,motorcycle,dog,0.5594169000032707,z
22,cricket,snake,0.3912304000041331,z
23,dog,cow,0.5507691000020714,z
24,cricket,cricket,0.3910126000046148,m
25,scissors,scissors,0.4382292000009329,m
26,goat,train,0.43549650000204565,z
27,clock,clock,0.328819399997883,m
28,cat,clock,0.4028524999957881,z
29,snake,keyboard,0.3774531000017305,z
30,car,car,0.4293778999999631,z
31,rooster,scissors,0.42710770000121556,z
32,keyboard,bird,0.4730065000039758,z
33,bell,duck,0.39664489999995567,z
34,whistle,baby,0.44426299999759067,z
35,train,whistle,0.5853491999951075,z
36,hammer,bell,0.4883406000008108,z
37,clock,frog,0.4036522000023979,z
38,bird,car,0.3623345000014524,z
39,rooster,rooster,0.3949180999989039,m
40,gun,gun,0.466408300002513,m
41,bird,bird,0.4136361999990186,m
42,sheep,cat,0.4204669999962789,z
43,snake,snake,0.4586027999976068,m
44,cow,cow,0.3754765000048792,m
45,cat,cat,0.3993257000038284,m
46,bell,bell,0.3896281999986968,m
47,frog,frog,0.33289030000014463,m
