order,cue,target,reaction_time,response
0,keyboard,chicken,1.5748679000025732,z
1,goat,goat,1.0131040999985998,m
2,car,car,1.067007300000114,m
3,gun,gun,0.5901592000009259,m
4,bell,duck,0.877263900001708,z
5,train,dog,2.0,
6,whistle,whistle,0.7580317000029027,m
7,rooster,owl,0.8142140000054496,z
8,cricket,cricket,1.1324000000022352,m
9,hammer,gun,0.04572639999969397,m
10,bell,bell,0.17915809999976773,z
11,dog,dog,0.1034607000037795,m
12,chicken,chicken,0.3625644999992801,m
13,owl,keyboard,1.571014200002537,m
14,cricket,motorcycle,0.5695798000015202,z
15,rooster,rooster,0.5694151000061538,m
16,chicken,frog,0.8252091999966069,z
17,motorcycle,bird,1.9907672999979695,z
18,baby,baby,1.1884951000029105,m
19,frog,frog,0.9152352000019164,m
20,clock,clock,0.8692430000010063,m
21,snake,snake,0.7686490999985836,m
22,keyboard,keyboard,0.5922597000026144,m
23,cat,cat,1.2792926999973133,z
24,motorcycle,motorcycle,0.2167741000012029,m
25,whistle,baby,0.09457200000179,m
26,duck,goat,2.0,
27,goat,cat,0.6163565000024391,z
28,car,train,0.5098174000013387,z
29,sheep,rooster,0.4964775999978883,z
30,sheep,sheep,0.5753770000010263,m
31,clock,sheep,1.155473599996185,z
32,hammer,hammer,0.8388908999986597,m
33,scissors,cow,0.25184369999624323,m
34,train,train,0.9127081999977236,m
35,dog,hammer,0.6828254000065499,z
36,snake,car,0.5979863000029582,z
37,cow,cricket,0.6448805999971228,z
38,scissors,scissors,0.6818276000049082,m
39,gun,scissors,0.7175773999988451,z
40,bird,whistle,0.6553970999957528,z
41,frog,snake,1.4438082000051509,z
42,bird,bird,0.23210239999752957,m
43,owl,owl,0.5734311999985948,z
44,cat,clock,0.5169533000007505,z
45,baby,bell,0.3429554999966058,m
46,duck,duck,0.5678028000038466,m
47,cow,cow,0.4958783999973093,m
