order,cue,target,reaction_time,response
0,bell,bell,0.4199685999992653,m
1,frog,frog,0.4658581999974558,z
2,whistle,owl,0.5336536000031629,z
3,cow,train,0.5028231999967829,z
4,owl,rooster,0.44922139999835053,z
5,scissors,scissors,0.3658819000047515,m
6,goat,bell,0.41402650000236463,z
7,hammer,cat,0.4526268000045093,z
8,duck,hammer,0.4730097999999998,z
9,cat,whistle,0.44888540000101784,z
10,gun,gun,0.5014055999999982,m
11,sheep,goat,0.37968959999852814,m
12,cow,cow,0.45983130000240635,m
13,clock,clock,0.41230269999505254,m
14,bird,bird,0.4268394999962766,z
15,chicken,clock,0.5851113999960944,z
16,snake,snake,0.41591770000377437,m
17,motorcycle,motorcycle,0.38196050000260584,m
18,cricket,cricket,0.4529620999965118,m
19,whistle,whistle,0.42564169999968726,m
20,cricket,dog,0.5673936000021058,z
21,owl,owl,0.3995377000028384,m
22,scissors,baby,0.43783319999784,z
23,car,cow,0.5635678999969969,z
24,keyboard,chicken,0.5558600000003935,z
25,bell,duck,0.5006206999969436,z
26,dog,dog,0.5433551999958581,m
27,goat,goat,0.39262170000438346,m
28,bird,scissors,0.4635832999992999,z
29,hammer,hammer,0.3802018999995198,m
30,cat,cat,0.44423449999885634,m
31,baby,keyboard,0.4332330000033835,z
32,chicken,chicken,0.4984669000041322,m
33,car,car,0.4289550999965286,m
34,train,train,0.45906839999952354,m
35,duck,duck,0.4235413999995217,m
36,dog,frog,0.5735721999953967,z
37,gun,car,0.4131656000026851,z
38,keyboard,keyboard,0.5799583999978495,m
39,snake,cricket,0.4275430999987293,z
40,train,sheep,0.5214605000001029,z
41,clock,motorcycle,0.5072968000022229,z
42,frog,gun,0.5656149000060395,z
43,motorcycle,snake,0.48564990000159014,z
44,sheep,sheep,0.3925971999997273,m
45,rooster,rooster,0.4399282000013045,m
46,rooster,bird,0.3494626000028802,z
47,baby,baby,0.48556380000081845,m
